Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Road Cycling,2024-06-21 10:57:50,false,"Silkeborg Road Cycling","62,06","1.742","02:13:07","145","185","3,9","28,0","70,2","490","485","NaN","NaN","NaN","NaN","75","112","226","150,4","206","191","521","NaN","NaN","9341","NaN","NaN","NaN","19,0","No","02:13:07","1","28,0","31","18","44","02:12:39","02:20:04","26","123"
Road Cycling,2024-06-18 12:07:00,false,"Silkeborg Road Cycling","61,98","1.813","02:16:29","147","187","4,2","27,3","68,8","506","497","NaN","NaN","NaN","NaN","76","117","239","184,4","238","194","731","NaN","NaN","9878","NaN","NaN","NaN","18,0","No","02:16:29","1","28,0","31","15","48","02:15:43","02:36:02","23","123"
Road Cycling,2024-06-10 10:24:52,false,"Silkeborg Road Cycling","81,24","2.075","03:13:13","132","159","3,7","25,2","44,4","410","408","NaN","NaN","NaN","NaN","82","108","164","123,2","168","152","444","NaN","NaN","15205","NaN","NaN","NaN","13,0","No","03:13:13","1","25,0","28","18","33","03:12:42","03:34:53","43","96"
Road Cycling,2024-06-09 15:14:28,false,"Silkeborg - 2x8 30/30s","25,42","799","00:52:34","157","184","3,9","29,0","54,7","182","179","NaN","NaN","NaN","NaN","79","114","267","88,0","240","226","720","NaN","NaN","4168","NaN","NaN","NaN","12,0","No","00:00:30","35","24,0","34","20","44","00:52:32","00:56:41","60","89"
Road Cycling,2024-06-07 10:06:48,false,"Silkeborg Road Cycling","58,22","1.411","02:08:57","145","184","3,7","27,1","57,7","486","482","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","9,0","No","02:08:57","1","26,0","30","21","43","02:08:44","02:11:55","26","124"
Road Cycling,2024-06-05 09:20:51,false,"Silkeborg Road Cycling","69,17","1.437","02:30:45","140","181","3,3","27,5","47,6","364","365","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","12,0","No","02:30:45","1","24,0","30","16","38","02:30:17","02:47:56","44","98"
Road Cycling,2024-06-02 10:30:31,false,"Silkeborg Road Cycling","58,55","1.119","02:08:33","133","179","3,0","27,3","55,2","402","397","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","20,0","No","02:08:33","1","30,0","29","17","40","02:08:20","02:10:29","31","100"
Road Cycling,2024-06-01 06:15:18,false,"Silkeborg Road Cycling","57,35","1.141","02:01:21","135","168","3,1","28,4","50,2","366","366","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","14,0","No","02:01:21","1","25,0","30","17","37","02:01:13","02:03:10","38","100"
Indoor Cycling,2024-05-30 09:55:27,false,"Rønnestad 3x13 30/15s","13,59","381","00:33:00","138","178","2,8","24,7","43,3","--","--","NaN","NaN","NaN","NaN","74","123","242","42,2","195","165","453","NaN","NaN","2319","NaN","NaN","NaN","17,0","No","00:00:00,6","55","20,0","32","20","45","00:30:36","00:33:00","--","--"
Indoor Cycling,2024-05-28 10:27:05,false,"FTP test","17,94","519","00:38:00","157","189","4,0","28,3","83,6","--","--","NaN","NaN","NaN","NaN","78","117","249","52,1","288","201","397","NaN","NaN","2764","NaN","NaN","NaN","22,0","No","00:05:16","3","25,0","35","17","47","00:36:28","00:38:00","--","--"
Indoor Cycling,2024-05-26 10:43:20,false,"4x8 min interval","23,48","772","00:54:01","150","170","3,9","26,1","34,0","--","--","NaN","NaN","NaN","NaN","80","95","244","71,1","252","211","410","NaN","NaN","4258","NaN","NaN","NaN","22,0","No","00:02:00","10","26,0","31","15","38","00:54:00","00:54:01","--","--"
Road Cycling,2024-05-25 09:41:14,false,"Silkeborg Road Cycling","84,24","1.748","02:48:10","146","181","3,7","30,1","48,1","374","371","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","17,0","No","02:48:10","1","31,0","32","21","44","02:48:03","02:52:05","44","98"
Road Cycling,2024-05-22 13:00:21,false,"Silkeborg - 4x8 min interval","49,44","1.186","01:49:25","150","183","4,1","27,1","67,9","473","469","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","24,0","No","00:00:34,9","17","30,0","33","22","45","01:49:09","01:51:39","21","128"
